logical_character_id,category,display_name,assembly_count,assembly_ids,visual_variants,states,unique_mesh_count,unique_skeleton_count,animation_count_all_unique,animation_count_core_unique,texture_count_unique
NPC/Class_A/210204,NPC,210204,1,NPC/Class_A/210204/Default,Default,Default,3,1,0,0,31
NPC/Class_A/210205,NPC,210205,1,NPC/Class_A/210205/Default,Default,Default,4,1,0,0,37
NPC/Class_A/210206,NPC,210206,1,NPC/Class_A/210206/Default,Default,Default,2,1,0,0,16
NPC/Class_A/210207,NPC,210207,1,NPC/Class_A/210207/Default,Default,Default,4,1,18,2,36
NPC/Class_A/210208,NPC,210208,1,NPC/Class_A/210208/Default,Default,Default,4,1,6,1,35
NPC/Class_A/210209,NPC,210209,1,NPC/Class_A/210209/Default,Default,Default,3,1,0,0,32
NPC/Class_A/210210,NPC,210210,1,NPC/Class_A/210210/Default,Default,Default,4,1,2,2,35
NPC/Class_A/210211,NPC,210211,1,NPC/Class_A/210211/Default,Default,Default,3,1,12,0,31
NPC/Class_A/210212,NPC,210212,1,NPC/Class_A/210212/Default,Default,Default,3,1,23,0,31
NPC/Class_A/210213,NPC,210213,1,NPC/Class_A/210213/Default,Default,Default,2,1,0,0,18
NPC/Class_A/210214,NPC,210214,1,NPC/Class_A/210214/Default,Default,Default,2,1,0,0,17
NPC/Class_A/210215,NPC,210215,1,NPC/Class_A/210215/Default,Default,Default,2,1,1,1,13
NPC/Class_A/210216,NPC,210216,1,NPC/Class_A/210216/Default,Default,Default,2,1,0,0,13
NPC/Class_A/210217,NPC,210217,1,NPC/Class_A/210217/Default,Default,Default,3,1,1,0,27
NPC/Class_A/210218,NPC,210218,1,NPC/Class_A/210218/Default,Default,Default,1,1,5,0,8
NPC/Class_A/210219,NPC,210219,1,NPC/Class_A/210219/Default,Default,Default,1,1,0,0,8
NPC/Class_A/210221,NPC,210221,1,NPC/Class_A/210221/Default,Default,Default,3,1,14,0,20
NPC/Class_A/210222,NPC,210222,1,NPC/Class_A/210222/Default,Default,Default,1,1,0,0,4
NPC/Class_A/210223,NPC,210223,1,NPC/Class_A/210223/Default,Default,Default,1,1,36,2,5
NPC/Class_A/210224,NPC,210224,1,NPC/Class_A/210224/Default,Default,Default,4,1,0,0,31
NPC/Class_A/210225,NPC,210225,1,NPC/Class_A/210225/Default,Default,Default,4,1,0,0,31
NPC/Class_A/210226,NPC,210226,1,NPC/Class_A/210226/Default,Default,Default,4,1,0,0,31
NPC/Class_A/210227,NPC,210227,1,NPC/Class_A/210227/Default,Default,Default,4,1,0,0,31
NPC/Class_A/210228,NPC,210228,1,NPC/Class_A/210228/Default,Default,Default,4,1,3,0,42
NPC/Class_A/210229,NPC,210229,1,NPC/Class_A/210229/Default,Default,Default,3,1,0,0,21
NPC/Class_A/210230,NPC,210230,1,NPC/Class_A/210230/Default,Default,Default,4,1,2,0,23
NPC/Class_A/210231,NPC,210231,1,NPC/Class_A/210231/Default,Default,Default,5,1,47,1,24
NPC/Class_A/210232,NPC,210232,1,NPC/Class_A/210232/Default,Default,Default,5,1,2,0,23
NPC/Class_A/210233,NPC,210233,1,NPC/Class_A/210233/Default,Default,Default,4,1,3,0,24
NPC/Class_A/210234,NPC,210234,1,NPC/Class_A/210234/Default,Default,Default,4,1,2,0,23
NPC/Class_A/210235,NPC,210235,1,NPC/Class_A/210235/Default,Default,Default,4,1,32,0,48
NPC/Class_A/210243,NPC,210243,1,NPC/Class_A/210243/Default,Default,Default,3,1,122,1,27
NPC/Class_A/210244,NPC,210244,1,NPC/Class_A/210244/Default,Default,Default,3,1,12,0,27
NPC/Class_A/210245,NPC,210245,1,NPC/Class_A/210245/Default,Default,Default,3,1,8,0,27
NPC/Class_A/210246,NPC,210246,1,NPC/Class_A/210246/Default,Default,Default,3,1,8,0,27
NPC/Class_A/210258,NPC,210258,1,NPC/Class_A/210258/Default,Default,Default,1,1,0,0,9
NPC/Class_A/210259,NPC,210259,1,NPC/Class_A/210259/Default,Default,Default,2,1,0,0,19
NPC/Class_A/210260,NPC,210260,1,NPC/Class_A/210260/Default,Default,Default,3,1,0,0,29
NPC/Class_A/Boris,NPC,Boris,1,NPC/Class_A/Boris/Default,Default,Default,3,1,174,22,30
NPC/Class_A/BurgerstackMasters,NPC,BurgerstackMasters,1,NPC/Class_A/BurgerstackMasters/Default,Default,Default,4,1,0,0,34
NPC/Class_A/CharcoalGrill,NPC,CharcoalGrill,1,NPC/Class_A/CharcoalGrill/Default,Default,Default,4,1,0,0,30
NPC/Class_A/ChipmunkGrocery,NPC,ChipmunkGrocery,1,NPC/Class_A/ChipmunkGrocery/Default,Default,Default,4,1,0,0,34
NPC/Class_A/CoffeeShopStaff,NPC,CoffeeShopStaff,1,NPC/Class_A/CoffeeShopStaff/Default,Default,Default,4,1,3,0,36
NPC/Class_A/Daniel,NPC,Daniel,1,NPC/Class_A/Daniel/Default,Default,Default,3,1,214,24,28
NPC/Class_A/Deliverer,NPC,Deliverer,1,NPC/Class_A/Deliverer/Default,Default,Default,4,1,0,0,22
NPC/Class_A/Edgar,NPC,Edgar,1,NPC/Class_A/Edgar/Default,Default,Default,4,2,424,25,30
NPC/Class_A/EvanKing,NPC,EvanKing,1,NPC/Class_A/EvanKing/Default,Default,Default,4,1,24,24,30
NPC/Class_A/Florina,NPC,Florina,1,NPC/Class_A/Florina/Default,Default,Default,4,1,0,0,39
NPC/Class_A/Gelato,NPC,Gelato,1,NPC/Class_A/Gelato/Default,Default,Default,4,1,0,0,36
NPC/Class_A/HeartsAndArrows,NPC,HeartsAndArrows,1,NPC/Class_A/HeartsAndArrows/Default,Default,Default,4,1,9,5,30
NPC/Class_A/HoneyAndMilk,NPC,HoneyAndMilk,1,NPC/Class_A/HoneyAndMilk/Default,Default,Default,4,1,1,1,34
NPC/Class_A/Jekyll,NPC,Jekyll,1,NPC/Class_A/Jekyll/Default,Default,Default,3,1,202,26,30
NPC/Class_A/Jon,NPC,Jon,1,NPC/Class_A/Jon/Default,Default,Default,4,1,35,35,24
NPC/Class_A/LittleCinderella,NPC,LittleCinderella,1,NPC/Class_A/LittleCinderella/Default,Default,Default,4,1,0,0,39
NPC/Class_A/MarkedWorker,NPC,MarkedWorker,1,NPC/Class_A/MarkedWorker/Default,Default,Default,6,2,9,0,25
NPC/Class_A/Miya,NPC,Miya,1,NPC/Class_A/Miya/Default,Default,Default,4,1,0,0,39
NPC/Class_A/NightfallBoozers,NPC,NightfallBoozers,1,NPC/Class_A/NightfallBoozers/Default,Default,Default,3,1,0,0,26
NPC/Class_A/Pierre,NPC,Pierre,1,NPC/Class_A/Pierre/Default,Default,Default,4,1,0,0,31
NPC/Class_A/Pixy,NPC,Pixy,1,NPC/Class_A/Pixy/Default,Default,Default,5,1,525,315,38
NPC/Class_A/QuarterPastEight,NPC,QuarterPastEight,1,NPC/Class_A/QuarterPastEight/Default,Default,Default,3,1,0,0,26
NPC/Class_A/Rachel,NPC,Rachel,1,NPC/Class_A/Rachel/Default,Default,Default,4,1,0,0,35
NPC/Class_A/RacingKnight,NPC,RacingKnight,1,NPC/Class_A/RacingKnight/Default,Default,Default,1,1,40,40,1
NPC/Class_A/Rohm,NPC,Rohm,1,NPC/Class_A/Rohm/Default,Default,Default,5,3,143,27,31
NPC/Class_A/Solferino,NPC,Solferino,1,NPC/Class_A/Solferino/Default,Default,Default,4,1,47,5,30
NPC/Class_A/SundayLounge,NPC,SundayLounge,1,NPC/Class_A/SundayLounge/Default,Default,Default,3,1,0,0,26
NPC/Class_A/TheVentus,NPC,TheVentus,1,NPC/Class_A/TheVentus/Default,Default,Default,4,1,1,1,23
NPC/Class_A/VoicepipeCafe,NPC,VoicepipeCafe,1,NPC/Class_A/VoicepipeCafe/Default,Default,Default,4,1,0,0,33
NPC/Class_A/WisdomBooks,NPC,WisdomBooks,1,NPC/Class_A/WisdomBooks/Default,Default,Default,3,1,0,0,26
NPC/Class_S/AlexNPC,NPC,AlexNPC,1,NPC/Class_S/AlexNPC/Default,Default,Default,3,1,412,233,38
NPC/Class_S/AndersenFemale,NPC,AndersenFemale,1,NPC/Class_S/AndersenFemale/Default,Default,Default,7,4,68,0,36
NPC/Class_S/AshleyFoot,NPC,AshleyFoot,1,NPC/Class_S/AshleyFoot/Default,Default,Default,6,3,64,0,57
NPC/Class_S/AshleyNPC,NPC,AshleyNPC,1,NPC/Class_S/AshleyNPC/Default,Default,Default,4,1,1855,356,51
NPC/Class_S/AshleyWorker,NPC,AshleyWorker,1,NPC/Class_S/AshleyWorker/Default,Default,Default,4,1,4,0,53
NPC/Class_S/Augulia,NPC,Augulia,1,NPC/Class_S/Augulia/Default,Default,Default,4,1,64,1,37
NPC/Class_S/Bellboy,NPC,Bellboy,1,NPC/Class_S/Bellboy/Default,Default,Default,4,2,7,7,19
NPC/Class_S/BoboNPC,NPC,BoboNPC,1,NPC/Class_S/BoboNPC/Default,Default,Default,3,1,290,218,34
NPC/Class_S/CaesarNPC,NPC,CaesarNPC,1,NPC/Class_S/CaesarNPC/Default,Default,Default,3,1,273,212,31
NPC/Class_S/CeremoniaryMaster,NPC,CeremoniaryMaster,1,NPC/Class_S/CeremoniaryMaster/Default,Default,Default,4,2,59,1,39
NPC/Class_S/Ginkgo,NPC,Ginkgo,1,NPC/Class_S/Ginkgo/Default,Default,Default,4,1,178,155,34
NPC/Class_S/Hunt,NPC,Hunt,1,NPC/Class_S/Hunt/Default,Default,Default,4,2,0,0,38
NPC/Class_S/MrWatch,NPC,MrWatch,1,NPC/Class_S/MrWatch/Default,Default,Default,6,3,488,309,41
NPC/Class_S/MrsCosmos,NPC,MrsCosmos,1,NPC/Class_S/MrsCosmos/Default,Default,Default,4,1,308,264,44
NPC/Class_S/MyBarley,NPC,MyBarley,1,NPC/Class_S/MyBarley/Default,Default,Default,1,1,0,0,15
NPC/Class_S/Toxic,NPC,Toxic,1,NPC/Class_S/Toxic/Default,Default,Default,4,1,0,0,38
