mesh_path,mesh_name,mesh_class,exclusion_reason
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CommChurchRuins/Meshes/PH_PD_PCGBLDN_CommChurchRuins_Wall_400X50X600_Mid_Damaged_03.PH_PD_PCGBLDN_CommChurchRuins_Wall_400X50X600_Mid_Damaged_03,PH_PD_PCGBLDN_CommChurchRuins_Wall_400X50X600_Mid_Damaged_03,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Box_A01.PH_CompanyWarehouse_Box_A01,PH_CompanyWarehouse_Box_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Box_A02.PH_CompanyWarehouse_Box_A02,PH_CompanyWarehouse_Box_A02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Box_B01.PH_CompanyWarehouse_Box_B01,PH_CompanyWarehouse_Box_B01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Box_B02.PH_CompanyWarehouse_Box_B02,PH_CompanyWarehouse_Box_B02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Box_C01.PH_CompanyWarehouse_Box_C01,PH_CompanyWarehouse_Box_C01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Box_D01.PH_CompanyWarehouse_Box_D01,PH_CompanyWarehouse_Box_D01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Chandelier_A01.PH_CompanyWarehouse_Chandelier_A01,PH_CompanyWarehouse_Chandelier_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Elevator_A01.PH_CompanyWarehouse_Elevator_A01,PH_CompanyWarehouse_Elevator_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Elevator_A02.PH_CompanyWarehouse_Elevator_A02,PH_CompanyWarehouse_Elevator_A02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Export_A01.PH_CompanyWarehouse_Export_A01,PH_CompanyWarehouse_Export_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_FakeDoor_A01.PH_CompanyWarehouse_FakeDoor_A01,PH_CompanyWarehouse_FakeDoor_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Guardrail_A01.PH_CompanyWarehouse_Guardrail_A01,PH_CompanyWarehouse_Guardrail_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Guardrail_A02.PH_CompanyWarehouse_Guardrail_A02,PH_CompanyWarehouse_Guardrail_A02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_IronGate_A01.PH_CompanyWarehouse_IronGate_A01,PH_CompanyWarehouse_IronGate_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_IronGate_A02.PH_CompanyWarehouse_IronGate_A02,PH_CompanyWarehouse_IronGate_A02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_MainBeam_A01.PH_CompanyWarehouse_MainBeam_A01,PH_CompanyWarehouse_MainBeam_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_MainBeam_A03.PH_CompanyWarehouse_MainBeam_A03,PH_CompanyWarehouse_MainBeam_A03,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Platform_A01.PH_CompanyWarehouse_Platform_A01,PH_CompanyWarehouse_Platform_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Shelf_A01.PH_CompanyWarehouse_Shelf_A01,PH_CompanyWarehouse_Shelf_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Shelf_A02.PH_CompanyWarehouse_Shelf_A02,PH_CompanyWarehouse_Shelf_A02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Stairwell_A01.PH_CompanyWarehouse_Stairwell_A01,PH_CompanyWarehouse_Stairwell_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Stairwell_A02.PH_CompanyWarehouse_Stairwell_A02,PH_CompanyWarehouse_Stairwell_A02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_StructuralWall_A01.PH_CompanyWarehouse_StructuralWall_A01,PH_CompanyWarehouse_StructuralWall_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_StructuralWall_A02.PH_CompanyWarehouse_StructuralWall_A02,PH_CompanyWarehouse_StructuralWall_A02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Ventilator_A01.PH_CompanyWarehouse_Ventilator_A01,PH_CompanyWarehouse_Ventilator_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Wall_Lamp_A01.PH_CompanyWarehouse_Wall_Lamp_A01,PH_CompanyWarehouse_Wall_Lamp_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_CompanyWarehouse_Window_A01.PH_CompanyWarehouse_Window_A01,PH_CompanyWarehouse_Window_A01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_A02.PH_PD_BLDN_CompanyWarehouse_Building_A02,PH_PD_BLDN_CompanyWarehouse_Building_A02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_A03.PH_PD_BLDN_CompanyWarehouse_Building_A03,PH_PD_BLDN_CompanyWarehouse_Building_A03,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_B01.PH_PD_BLDN_CompanyWarehouse_Building_B01,PH_PD_BLDN_CompanyWarehouse_Building_B01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_B02.PH_PD_BLDN_CompanyWarehouse_Building_B02,PH_PD_BLDN_CompanyWarehouse_Building_B02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_B03.PH_PD_BLDN_CompanyWarehouse_Building_B03,PH_PD_BLDN_CompanyWarehouse_Building_B03,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_001.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_001,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_001,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_002.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_002,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_002,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_003.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_003,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_003,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_004.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_004,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_004,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_005.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_005,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_005,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_007.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_007,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_007,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_008.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_008,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_008,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_009.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_009,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_009,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_010.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_010,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_010,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_011.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_011,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_011,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_012.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_012,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_012,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_013.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_013,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_013,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_014.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_014,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_014,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_015.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_015,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_015,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_016.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_016,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_016,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CompanyWarehouse/PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_017.PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_017,PH_PD_BLDN_CompanyWarehouse_Building_PH_PD_BLDN_CompanyWarehouse_Building_017,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Corridor/PH_Corridor_Stone_01.PH_Corridor_Stone_01,PH_Corridor_Stone_01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Corridor/PH_Corridor_Stone_02.PH_Corridor_Stone_02,PH_Corridor_Stone_02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Corridor/PH_Corridor_Stone_03.PH_Corridor_Stone_03,PH_Corridor_Stone_03,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Corridor/PH_Corridor_Stone_04.PH_Corridor_Stone_04,PH_Corridor_Stone_04,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Corridor/PH_Corridor_Stone_05.PH_Corridor_Stone_05,PH_Corridor_Stone_05,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Corridor/PH_Corridor_Stone_05a.PH_Corridor_Stone_05a,PH_Corridor_Stone_05a,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Corridor/PH_Corridor_Stone_05b.PH_Corridor_Stone_05b,PH_Corridor_Stone_05b,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Corridor/PH_Corridor_Stone_06.PH_Corridor_Stone_06,PH_Corridor_Stone_06,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Corridor/PH_Trim_Bottom_Stone_01.PH_Trim_Bottom_Stone_01,PH_Trim_Bottom_Stone_01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Corridor/PH_Trim_Middle_Stone_01.PH_Trim_Middle_Stone_01,PH_Trim_Middle_Stone_01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Corridor/PH_Trim_Top_Stone_01.PH_Trim_Top_Stone_01,PH_Trim_Top_Stone_01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/CrossGarden/PH_CrossGarden_04.PH_CrossGarden_04,PH_CrossGarden_04,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Dun_Room/PH_Dun_Room_Door_03.PH_Dun_Room_Door_03,PH_Dun_Room_Door_03,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Dun_Room/PH_Dun_Room_Railing_02.PH_Dun_Room_Railing_02,PH_Dun_Room_Railing_02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Dun_Room/PH_Dun_Room_Stairs_01.PH_Dun_Room_Stairs_01,PH_Dun_Room_Stairs_01,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Dun_Room/PH_Dun_Room_Stairs_03.PH_Dun_Room_Stairs_03,PH_Dun_Room_Stairs_03,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Dun_Room/PH_Dun_Room_Wall_02.PH_Dun_Room_Wall_02,PH_Dun_Room_Wall_02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Dun_Room/PH_Dun_Room_Wall_03.PH_Dun_Room_Wall_03,PH_Dun_Room_Wall_03,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Dun_Room/PH_Dun_Room_Wall_07.PH_Dun_Room_Wall_07,PH_Dun_Room_Wall_07,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Dun_Room/PH_Dun_Room_Window_05.PH_Dun_Room_Window_05,PH_Dun_Room_Window_05,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Bright/PH_Factory_Bright_Arch_03B.PH_Factory_Bright_Arch_03B,PH_Factory_Bright_Arch_03B,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Corridor/PH_Factory_Corridor_Door_02A.PH_Factory_Corridor_Door_02A,PH_Factory_Corridor_Door_02A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Corridor/PH_Factory_Corridor_Wall_Trim_01A.PH_Factory_Corridor_Wall_Trim_01A,PH_Factory_Corridor_Wall_Trim_01A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Corridor/PH_Factory_Corridor_Wall_Trim_02A.PH_Factory_Corridor_Wall_Trim_02A,PH_Factory_Corridor_Wall_Trim_02A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Dark/PH_Factory_Dark_ControlPanel_01A.PH_Factory_Dark_ControlPanel_01A,PH_Factory_Dark_ControlPanel_01A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Dark/PH_Factory_Dark_OreSand_Large.PH_Factory_Dark_OreSand_Large,PH_Factory_Dark_OreSand_Large,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Dark/PH_Factory_Dark_OreSand_Medium.PH_Factory_Dark_OreSand_Medium,PH_Factory_Dark_OreSand_Medium,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Dark/PH_Factory_Dark_Wall_Pilaster_01A.PH_Factory_Dark_Wall_Pilaster_01A,PH_Factory_Dark_Wall_Pilaster_01A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Office/PH_Factory_Office_Clock_02A.PH_Factory_Office_Clock_02A,PH_Factory_Office_Clock_02A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Office/PH_Factory_Office_Clothes_01A.PH_Factory_Office_Clothes_01A,PH_Factory_Office_Clothes_01A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Office/PH_Factory_Office_Clothes_Hook_01A.PH_Factory_Office_Clothes_Hook_01A,PH_Factory_Office_Clothes_Hook_01A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Office/PH_Factory_Office_Electric_Fan_02A.PH_Factory_Office_Electric_Fan_02A,PH_Factory_Office_Electric_Fan_02A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Office/PH_Factory_Office_Hourglass_01A.PH_Factory_Office_Hourglass_01A,PH_Factory_Office_Hourglass_01A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Office/PH_Factory_Office_Medication_Table_01A.PH_Factory_Office_Medication_Table_01A,PH_Factory_Office_Medication_Table_01A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/Factory/Office/PH_Factory_Office_Message_Wall_01A.PH_Factory_Office_Message_Wall_01A,PH_Factory_Office_Message_Wall_01A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/FlowerHouse/PH_Flowerhouse_01_1F_Inside/PH_Flowerhouse_01_1F_Stairs.PH_Flowerhouse_01_1F_Stairs,PH_Flowerhouse_01_1F_Stairs,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/FlowerHouse/PH_Flowerhouse_01_3F/PH_Flowerhouse_01_3F_Handdrail_A01_02.PH_Flowerhouse_01_3F_Handdrail_A01_02,PH_Flowerhouse_01_3F_Handdrail_A01_02,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/GulliverStreet/TheaterStage/PH_PD_BLDN_OperaHouse_Sculpture_01A.PH_PD_BLDN_OperaHouse_Sculpture_01A,PH_PD_BLDN_OperaHouse_Sculpture_01A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/GulliverStreet/TheaterStage/PH_PD_BLDN_OperaHouse_Sculpture_02A.PH_PD_BLDN_OperaHouse_Sculpture_02A,PH_PD_BLDN_OperaHouse_Sculpture_02A,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/OpenWorld/PeerageDistrict/PlaceHolder/Buildings/HeartsArrows/PH_HeartsArrowsQuadric_03.PH_HeartsArrowsQuadric_03,PH_HeartsArrowsQuadric_03,StaticMesh,占位/白盒/破碎测试
